"yrs","ymeans","yn","ysd","yse"
2011,-0.0187793961505807,709,0.133042447610187,0.00499651399861714
2012,-0.0227782570552186,1098,0.0919461396905973,0.00277480411753928
2014,0.013174481368797,392,0.10423096522484,0.00526445873715025
2015,0.00672326779124587,617,0.0867655196044319,0.00349304829241445
2016,-0.0084922451280411,1214,0.218418458357736,0.00626873619655128
2017,-0.0155902825127386,530,0.0909969430934671,0.00395265462560927
2018,-0.0111446279997748,804,0.0905473427885629,0.00319335856317792
1990,0.0708771657692825,228,0.121203361610982,0.00802688871194003
1997,-0.0782126892414658,82,0.0879887857399071,0.00971673588673063
1999,-0.0910871591909102,295,0.105937557678812,0.00616792307074395
2000,-0.00738055979778849,366,0.124217573428672,0.00649295657656911
2001,-0.0187585495872041,339,0.10583611749694,0.00574822885812551
2002,0.0187530640630446,359,0.107799083069816,0.00568941800086443
2003,0.0252511600612903,320,0.112132023066375,0.00626837065077472
2004,0.0113258359840094,325,0.120496581872515,0.00668394776091534
2005,0.0321898193330054,341,0.105408286507479,0.00570817874525742
2006,-0.0271346555602017,362,0.0990112322993087,0.00520391483569855
2007,-0.0263262938013221,342,0.109517016558891,0.00592200202139487
2008,-0.0463413062118396,342,0.107774394068539,0.00582777178910172
2009,-0.0389097729479791,591,0.104708528739861,0.00430713334082879
2010,-0.0172561244005077,625,0.099816964013025,0.003992678560521
2011,-0.005079319010857,571,0.101771897802911,0.0042590213683983
2012,-0.0198716070913082,483,0.107716103055586,0.00490125239783156
2013,0.012104247774546,544,0.105891236367972,0.00454004930402453
2014,0.0300229712377893,502,0.120893950215154,0.00539576106285837
2016,0.0260453541246889,488,0.102351256525278,0.0046332236839526
2017,0.0231395322016783,555,0.101298732491635,0.00429989172384355
2018,0.00932464316038134,470,0.117521849507662,0.00542087868980461
2017,0.0804599189810943,338,0.132079214152776,0.00718416215240137
1997,-0.0206048034290693,185,0.156886253961515,0.0115345067918029
1999,-0.0388631653544714,416,0.153964136433557,0.00754871284680931
2000,-0.0248584881952019,452,0.130322676230701,0.00612986305769099
2001,-0.0290015520712396,536,0.113888266256036,0.00491922386313964
2002,0.028137601580764,471,0.0931231538182687,0.00429088842993803
2003,0.0288061628441103,640,0.113586817950689,0.00448991321118846
2004,0.00715065067094495,477,0.133674437120594,0.0061205320228028
2005,-0.00848838300548183,548,0.134533973127234,0.00574700650821568
2006,-0.00967577462456049,513,0.105627007792689,0.00466354632004593
2007,0.000825551915580658,582,0.104053972995,0.00431317594852824
2008,0.0149015416432994,588,0.101453015379705,0.00418385183854087
2009,-0.0324918647585249,671,0.0973364521523086,0.00375763205821776
2010,0.000997525899056998,684,0.126835103382606,0.0048496613871782
2011,-0.00799231479809969,743,0.131671183860345,0.00483054723822326
2012,-0.0140727823045069,606,0.119902983822298,0.00487072576939116
2013,0.0128230580163953,691,0.119851513224794,0.00455936643830854
2014,0.00665440780421996,703,0.119345594284988,0.00450120433943137
2015,0.00643544189337336,744,0.12424120632528,0.00455490361859375
2016,0.0325053550335614,714,0.121717892659501,0.00455517764837124
2017,0.00057944163795436,705,0.133074338686995,0.00501186954500447
2018,0.00704968539896414,805,0.114018404901813,0.00401862073559927
