"yrs","ymeans","yn","ysd","yse"
1991,0.0294730479720129,902,0.131888558986068,0.00439140866431358
1999,-0.0518174481498443,1106,0.111753629130855,0.00336034657967723
2000,-0.0197390272378384,1394,0.0987232368707082,0.00264416163363452
2001,-0.0172141694720558,1312,0.105522409411724,0.00291325017660786
2002,0.0085881026387961,1432,0.110507928433819,0.00292026275013777
2003,0.0213637678848575,1361,0.115342454342066,0.00312651218650309
2004,-0.0113535046011255,1434,0.134272824572355,0.00354579439520303
2005,-0.01846003363677,1316,0.136295554022586,0.00375710856601744
2006,-0.0201551341358486,1292,0.127708654441417,0.00355294980781757
2007,0.0277334763385898,922,0.114186790419023,0.00376054166988929
2008,0.0207067207610742,1026,0.114164684525217,0.00356416745700062
2009,0.0414635145177708,955,0.125890073444594,0.00407370711085255
2010,0.0716191524526934,1120,0.0966724066922218,0.00288864065529383
2011,0.00513450683213591,1432,0.101121168886879,0.00267220992136861
2012,-0.0115962508106699,1450,0.0994319628872162,0.00261121127179214
2013,0.0292308554318405,1397,0.108357751468283,0.00289909055708323
2014,0.0427083796158759,1702,0.0894444449182643,0.00216807147414503
2015,-0.0242031255909865,1889,0.101546848182414,0.00233641760135711
2016,0.000880992355496224,1555,0.115736754836009,0.00293498647487481
2017,-0.0265022625108735,1437,0.270774331137903,0.00714297463046408
2018,-0.0292692431946891,1345,0.114036316326002,0.00310943897463105
2010,0.00246171077142102,5,0.181919162054244,0.0813567225526178
2017,-0.0614559230542758,387,0.136322075633426,0.00692964054629023
2018,-0.0657892693717077,212,0.100772115335556,0.00692105729639713
1991,0.0762148227446427,147,0.175100051447493,0.0144420088340468
1999,-0.0993680225889477,241,0.189274289955211,0.0121922288081961
2000,0.00295696531946918,181,0.18469676852169,0.013728402687294
2001,-0.0250670309987048,297,0.169048732124709,0.00980920234351733
2002,0.0642852716758595,240,0.14752323700806,0.00952258400184712
2003,0.045717440970018,235,0.148537575814356,0.00968952306070085
2004,0.02983977655793,203,0.128695926710608,0.00903268328077266
2005,0.0348592937337554,297,0.12516080673177,0.00726256661779687
2006,-0.0175070932400831,246,0.203829056346873,0.0129956659772441
2007,-0.0277267170306557,552,0.148185036265317,0.00630717399407866
2008,-0.0519960750904494,225,0.170969045671598,0.0113979363781065
2009,-0.0387622446540479,374,0.148244113995313,0.00766552064611946
2010,0.0279730283113806,295,0.155839371083978,0.00907331897487516
2011,-0.0340729747285935,312,0.192847726631656,0.010917852597601
2012,-0.0633510199449764,347,0.177928480693197,0.00955170130473911
2013,-0.014741932605233,456,0.149406658107756,0.00699660780697809
2014,0.053614826037833,404,0.172708697275211,0.00859257884307769
2015,0.00664002783014941,441,0.199859844166611,0.00951713543650531
2016,0.0682247550615138,222,0.141579165620599,0.00950217142984144
2017,0.0135749255617183,200,0.271129872835604,0.0191717771664302
2018,0.0261210675652894,157,0.219414255979846,0.0175111639962737
2010,0.0477650841416994,47,0.131124280446409,0.019126442052483
2017,0.0360509425720931,88,0.301400408080963,0.0321293914563673
2018,0.118124524219453,33,0.142564085025157,0.0248172217446482
1984,-0.035943644290609,33,0.0914992032722522,0.0159279668274476
1993,0.0309308891479343,579,0.113974908590864,0.00473663555568559
1998,0.0465613415466883,365,0.0930175709515935,0.00486876218572966
1999,-0.0343879937461969,842,0.119363269672816,0.0041135299246025
2000,0.00261377193759789,876,0.11751218107698,0.0039703686585482
2001,0.00896075202248776,944,0.101335695724379,0.00329819596746027
2002,0.0104178914623069,881,0.0956538063425656,0.00322265861787031
2003,0.0499531896088345,1275,0.103404685766508,0.00289591044148032
2004,0.0311925079921309,1016,0.2790485046876,0.00875453020906788
2005,0.0147821080417158,1312,0.112016123592711,0.00309252786833293
2006,0.00132585442700971,1316,0.122593386068775,0.00337939607963845
2007,0.00677860237413356,1447,0.108315930114121,0.0028474628574564
2008,-0.00481463099052924,1229,0.102177624564245,0.00291460603955648
2009,-0.0196898725478206,1425,0.0993726020217157,0.00263244453567019
2010,-0.00399732081213408,1298,0.10838829130778,0.00300846541777852
2011,0.00523945917917611,1265,0.102053941418115,0.00286935656240058
2012,-0.0281958789237907,1304,0.105652447767621,0.00292577394187669
2013,-0.00718709776480174,1423,0.0922095938072077,0.00244440778878461
2014,-0.00580351509002976,1441,0.0961016420191785,0.00253162174775115
2015,-0.0303676319934279,1825,0.0939565137398173,0.00219935563093144
2016,0.00574238050525397,1630,0.0970211634136463,0.00240310460624389
2017,-0.0142753182242656,1396,0.112626979524053,0.00301439199663748
2018,0.00304087727380328,1352,0.0887102987014203,0.00241260206818686
2010,0.0237014049273493,176,0.0953710252682722,0.00718886151559916
2017,-0.0187842768865178,368,0.117546102896062,0.00612751419251622
2018,0.00462281172150381,323,0.0975345942155447,0.0054269699933711
1999,-0.115741791742684,464,0.175189273183603,0.00813295783220529
2000,-0.00565943328995762,409,0.123760595269786,0.00611956758574558
2001,0.00392873370516394,417,0.102451787112202,0.0050170856001892
2002,0.0279524000800326,503,0.125891984505613,0.00561324614920223
2003,0.0335141092205211,518,0.118896661415201,0.00522401938770239
2004,0.0288887933095008,407,0.130084976949453,0.00644807291325803
2005,-0.00705487586164402,417,0.10659024509378,0.00521974675946821
2006,-0.00909399609368514,539,0.138610623090109,0.0059703821915229
2007,-0.00459969628532985,454,0.13274485108233,0.00623002455232892
2008,-0.0316887600167134,370,0.110931325337915,0.00576704499282433
2009,-0.0182276606687311,599,0.109077519910841,0.00445678664081751
2010,-0.0144341792129949,524,0.108415948276214,0.00473617269078406
